cell,ACTC1.L,CD44.L,CDH1.S,CDX4.L,CHRD.1.S,DLX2.L,DLX3.L,EGR2.L,ELAVL3.L,EPHA2.L,EPHA4.L,EYA1.L,FOXC2.L,GATA2.L,GBX2.2.L,HNF1B.L,HOXA3.S,HOXC10.L,HOXD3.L,KRT12.4.L,MAFB.S,MSX1.L,MSX2.L,MYL1.L,MYOD1.S,NOG.L,OLIG4.L,OTX2.S,PAX3.S,PAX6.S,PAX7.L,PITX1.L,RAX.L,SIX1.L,SNAI1.S,SNAI2.L,SOX10.L,SOX17A.S,SOX2.L,SOX3.S,SOX8.L,SOX9.S,TFAP2A.L,TFAP2C.L,TP63.L,VENTX2.1.L,TBXT.S,ZIC1.S,OLIG3.S,EYA2.S,HOXB6.S,HOXB9.S,HOXC9.S,HOXD11.L
2685806100125100032,8,0,0,0,8,0,2,0,0,13,2,0,2,1,0,24,2,1,0,1,0,0,0,8,3,0,0,0,0,10,0,5,0,0,1,0,0,48,22,0,0,14,0,0,0,0,0,1,0,1,0,0,0,0
2685806100125100033,202,0,0,0,10,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,1,0,0,121,17,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2685806100125100034,33,1,3,0,1,1,0,0,0,0,2,2,1,0,0,0,2,0,0,5,1,0,0,7,1,0,1,0,2,0,1,0,0,9,5,0,0,0,0,0,0,0,0,4,2,0,0,10,0,3,4,0,0,0
2685806100125100035,611,18,1,0,13,0,2,0,0,3,2,1,4,1,0,6,3,0,1,1,24,1,0,360,50,1,1,0,1,1,0,0,0,19,7,0,0,5,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
2685806100125100036,138,6,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,57,11,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1
2685806100125100037,129,5,0,0,6,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,81,9,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0
2685806100125100038,465,22,1,0,21,0,2,0,0,2,6,3,4,0,0,0,2,0,0,0,57,0,2,282,70,0,0,0,0,1,0,0,1,19,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,1,1
2685806100125100039,1,0,17,0,1,0,3,1,2,0,0,1,1,14,0,0,2,0,0,154,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7,13,0,0,0,0,0,1,1,0,0,0
2685806100125100040,568,17,0,2,29,1,2,0,0,1,2,0,2,0,0,0,12,0,1,0,48,1,0,394,81,1,1,0,0,1,2,0,0,18,9,0,0,0,1,0,0,2,1,4,0,0,0,0,0,5,1,0,1,1
2685806100125100041,81,0,2,1,1,0,1,0,0,1,1,0,2,1,0,0,4,0,0,1,2,0,0,37,18,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0
