Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.5,25,16,24,0.61,0.51,0.385,0.556
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.55,22,19,27,0.537,0.449,0.324,0.489
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.6,16,25,33,0.39,0.327,0.216,0.356
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.65,11,30,38,0.268,0.224,0.139,0.244
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.7,10,31,39,0.244,0.204,0.125,0.222
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.75,9,32,40,0.22,0.184,0.111,0.2
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.8,6,35,43,0.146,0.122,0.071,0.133
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.85,3,38,46,0.073,0.061,0.034,0.067
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.9,0,41,49,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,0.95,0,41,49,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,49,41,1.0,0,41,49,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,49,45,0.5,35,10,14,0.778,0.714,0.593,0.745
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,49,45,0.55,35,10,14,0.778,0.714,0.593,0.745
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,49,45,0.6,34,11,15,0.756,0.694,0.567,0.723
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,49,45,0.65,28,17,21,0.622,0.571,0.424,0.596
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,49,45,0.7,22,23,27,0.489,0.449,0.306,0.468
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,49,45,0.75,22,23,27,0.489,0.449,0.306,0.468
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,49,45,0.8,17,28,32,0.378,0.347,0.221,0.362
